pollster,publisher,date,L,YB,YA,ZC,BY,S,UTJ,M,A,Y,K,N
Midgam,Yediot Achranot,13/03/15,22,5,12,26,12,7,6,5,13,4,8,1032
Panels,Maariv/Jerusalem Post,13/03/15,21,4,13,25,11,7,6,5,13,5,10,1305
Teleseker,Walla,13/03/15,23,6,12,25,11,7,7,4,12,4,9,600
Panels,Maariv/103FM,12/03/15,21,5,13,24,12,7,7,5,13,5,9,600
Maagar Mochot,Kol Bramah,12/03/15,21,5,13,24,13,7,7,5,12,5,8,600
Teleseker,Channel 1,12/03/15,22,6,12,25,11,8,7,4,11,4,9,600
Smith,Globes,12/03/15,20,6,12,24,12,9,6,5,13,4,9,600
Dialog,Haaretz,12/03/15,21,4,12,24,11,7,6,6,13,5,11,714
Midgam,Galatz,11/03/15,21,6,12,24,13,7,7,6,12,4,8,600
Panels,Knesset Channel,10/03/15,21,5,14,24,12,7,6,5,13,4,9,1027
Midgam,Channel 2,10/03/15,21,6,12,25,13,7,6,5,13,4,8,1003
TRI,Bizportal,10/03/15,24,4,14,24,12,5,7,6,12,4,8,600
Geocartography,i24news,8/03/15,26,7,12,21,13,8,8,5,12,0,8,600
New Wave,Yisrael Hayom,6/03/15,23,6,13,23,12,6,6,5,13,5,9,600
Smith,Reshet Bet,6/03/15,23,5,12,23,12,9,6,5,13,4,8,600
Teleseker,Walla,6/03/15,24,6,12,24,11,8,7,4,12,4,8,600
Panels,Maariv/Jerusalem Post,6/03/15,22,5,13,24,12,7,6,6,13,4,8,600
Panels,Maariv/103FM,5/03/15,22,5,13,23,12,7,7,6,13,4,8,600
Teleseker,Channel 1,5/03/15,24,6,13,24,11,8,7,4,12,4,7,600
Dialog,Channel 10,4/03/15,23,5,13,23,11,7,6,5,13,4,10,952
Midgam,Channel 2,4/03/15,23,6,12,24,12,6,6,6,13,4,8,790
Panels,Knesset Channel,3/03/15,21,5,13,24,12,7,7,6,13,4,8,600
Midgam,Galatz,3/03/15,22,7,12,24,12,6,7,6,12,4,8,600
Maagar Mochot,Kol Bramah,2/03/15,23,6,11,24,12,7,7,5,12,5,8,600
Geocartography,i24news,1/03/15,24,5,11,22,14,4,8,6,12,5,9,600
Smith,Reshet Bet,27/02/15,22,6,12,23,12,8,6,5,13,4,9,600
Teleseker,Walla,27/02/15,23,6,13,23,13,7,7,4,12,5,7,600
Panels,Jerusalem Post,26/02/15,23,5,12,24,12,7,7,5,13,4,8,600
Teleseker,Channel 1,26/02/15,24,6,12,24,12,7,7,4,12,5,7,600
Smith,Globes,26/02/15,22,6,11,23,12,8,7,5,13,4,9,600
Panels,Maariv/Jerusalem Post,26/02/15,23,5,12,24,12,7,7,5,13,4,8,600
Dialog,Channel 10,26/02/15,21,6,13,23,12,7,7,5,12,5,9,600
Dialog,Haaretz,25/02/15,23,6,12,23,12,7,7,5,12,4,9,600
Midgam,Channel 2,24/02/15,22,6,12,24,12,7,7,6,12,5,7,600
Dialog,,24/02/15,23,6,12,23,12,7,7,5,12,4,9,600
Panels,Knesset Channel,24/02/15,24,5,12,24,11,7,7,5,13,4,8,600
Teleseker,,22/02/15,23,4,11,25,14,5,7,6,12,5,8,600
TRI,Channel 10,22/02/15,23,4,11,25,14,5,7,6,12,5,8,600
Geocartography,i24news,22/02/15,27,7,11,23,11,4,7,4,12,5,9,600
Smith,Reshet Bet,20/02/15,24,5,10,24,13,8,7,5,12,4,8,600
Teleseker,Walla,20/02/15,24,6,12,23,13,7,7,4,12,4,8,600
Panels,Maariv/Jerusalem Post,19/02/15,22,5,12,24,13,7,7,6,12,4,8,600
Teleseker,Channel 1,19/02/15,24,6,11,24,13,7,7,4,12,4,8,600
Dialog,Channel 10,18/02/15,22,5,12,23,13,7,7,5,12,4,10,600
TRI,Bizportal,17/02/15,23,4,12,24,14,4,8,4,12,5,10,501
Panels,Knesset Channel,17/02/15,23,6,12,24,12,7,7,6,12,4,7,760
Maagar Mochot,Kol Bramah,16/02/15,25,6,11,24,12,6,7,5,12,4,8,600
Midgam,Channel 2,15/02/15,24,7,11,25,11,6,7,5,12,5,7,700
Geocartography,i24news,15/02/15,27,6,8,24,11,7,8,6,12,4,7,600
Smith,Reshet Bet,13/02/15,25,5,9,24,13,8,7,5,13,4,7,600
Teleseker,Walla,13/02/15,25,7,9,23,13,7,7,5,12,4,8,600
Panels,,13/02/15,24,6,12,23,11,6,7,6,13,5,7,600
