pollster,publisher,year,days_before,Kadima,Likud,Yis Bet,Labor,Shas,UTJ,HaBayit,UAL,Hadash,Balad,Meretz,Yesh,Otzma,Am,Hatnuah,NU,Greens,Gil
Dahaf,Yedioth Ahronot,2013,4,2,32,0,17,11,6,12,4,4,3,6,13,2,0,8,0,0,0
Dialog,Haaretz,2013,5,2,32,0,17,12,5,14,3,5,4,6,12,0,0,8,0,0,0
Panels,Knesset Channel,2013,5,3,34,0,16,10,6,14,4,4,3,6,11,2,0,7,0,0,0
New Wave,Israel Hayom,2013,5,2,35,0,17,11,6,15,3,4,3,5,12,0,0,7,0,0,0
Maagar Mochot,Maariv,2013,5,3,37,0,15,12,6,14,3,4,3,7,8,2,1,5,0,0,0
Teleseker,Walla!,2013,6,3,34,0,18,10,6,15,4,3,3,5,11,0,2,6,0,0,0
Midgam,Channel 1,2013,10,2,33,0,16,10,5,15,4,4,3,6,10,3,0,9,0,0,0
Sof Hashavua,Yisrael Post,2013,11,2,34,0,17,9,6,14,4,3,3,5,11,3,0,9,0,0,0
Smith,Jerusalem Post,2013,11,2,34,0,18,10,6,14,4,4,3,4,10,0,3,8,0,0,0
Geocartography,,2013,12,3,34,0,16.5,11,6,15,3,4,5,5.5,12,0,0,5,0,0,0
Midgam,Channel 1,2009,4,23,28,19,16,10,5,3,4,4,2,5,0,0,0,0,3,0,0
Dialog,Haaretz,2009,4,25,27,19,14,9,6,2,3,3,2,6,0,0,0,0,4,0,0
Smith,Jerusalem Post,2009,4,23,26,17.5,15.5,10,5,3.5,3.5,4,3,5,0,0,0,0,3.5,0,0
Teleseker,Maariv,2009,4,23,26,19,17,10,5,3,4,4,2,6,0,0,0,0,3,0,2
Dahaf,Yedioth Ahronot,2009,4,23,25,19,16,10,6,3,3,4,2,5,0,0,0,0,4,0,0
Panels,Knesset Channel,2009,5,25,26,18,14,10,5,3,3,4,2,6,0,0,0,0,4,0,0
Geocartography,Globes,2009,5,22.5,26,20.5,15.5,10,5,2,3,5,0,5,0,0,0,0,6,0,0
New Wave,Israel Hayom,2009,5,24,30,17,16,9,5,2,3,5,0,6,0,0,0,0,3,0,0
Shvakim Panorama,It's All Talk,2009,5,21,25,16,16,11,7,4,3,4,2,5,0,0,0,0,4,0,2
Maagar Mochot,Makor Rishon,2009,5,24,27,18,13,10,6,3,3,3,3,5,0,0,0,0,2,1,1
Panels,,2006,1,34,14,12,17,12,6,0,7,0,0,5,0,0,0,0,11,0,2
Jpost,,2006,1,33.5,15,11,20.5,10,6,0,9,0,0,6,0,0,0,0,9.5,0,0
Teleseker,,2006,2,34,14,12,17,12,6,0,7,0,0,5,0,0,0,0,11,0,2
Dahaf,,2006,2,34,13,12,21,11,6,0,7,0,0,5,0,0,0,0,9,0,2
Maagar Mochot,,2006,2,34,12,15,19,8,6,0,7,0,0,6,0,0,0,0,8,0,2
Dialog,,2006,2,36,14,7,18,11,6,0,8,0,0,6,0,0,0,0,12,0,2
Smith,,2006,5,34,15,10.5,21,10,5,0,7,0,0,5,0,0,0,0,9.5,0,2
Geocartography,,2006,6,33.5,16.5,10.5,17.5,9.5,7,0,8.5,0,0,6,0,0,0,0,9,0,2
